"number_invariant_sites","number_invariant_sites_excluding_ambiguous","max_gc","max_gc_excluding_ambiguous","max_invariant_block_length","max_invariant_block_length_excluding_ambiguous","max_pairwise_difference","max_pairwise_difference_excluding_ambiguous","max_variable_block_length","max_variable_block_length_excluding_ambiguous","min_gc","min_gc_excluding_ambiguous","min_pairwise_difference","min_pairwise_difference_excluding_ambiguous","number_invariable_block","number_invariable_block_excluding_ambiguous","mean_gc","mean_gc_excluding_ambiguous","mean_gc_1","mean_gc_1_excluding_ambiguous","mean_gc_2","mean_gc_2_excluding_ambiguous","mean_gc_3","mean_gc_3_excluding_ambiguous","var_gc","var_gc_excluding_ambiguous","var_gc_1","var_gc_1_excluding_ambiguous","var_gc_2","var_gc_2_excluding_ambiguous","var_gc_3","var_gc_3_excluding_ambiguous","theta","tajima_d","tajima_pi","segregating_sites"
0,0,0,0,0,0,102,161,162,162,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.479941,0.3239709
0,0,0,0,0,0,104,162,162,162,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.354349,0.3168851
0,0,0,0,0,0,101,161,162,162,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.372823,0.3179274
0,1,0,0,0,1,103,162,162,111,0,0,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.435824,0.3214819
0,0,0,0,0,0,108,161,162,162,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.451647,0.3223746
0,0,0,0,0,0,97,161,162,162,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.312114,0.3145023
0,0,0,0,0,0,101,161,162,162,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.362923,0.3173689
0,0,0,0,0,0,101,161,162,162,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.350042,0.3166421
0,0,0,0,0,0,98,161,162,162,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.232454,0.310008
0,0,0,0,0,0,101,161,162,162,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.408299,0.3199289
0,0,0,0,0,0,104,161,162,162,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.415522,0.3203364
0,0,0,0,0,0,100,161,162,162,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.37652,0.318136
0,0,0,0,0,0,99,162,162,162,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.404655,0.3197233
0,0,0,0,0,0,105,162,162,162,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.412368,0.3201585
0,0,0,0,0,0,106,162,162,162,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.408909,0.3199633
0,0,0,0,0,0,99,161,162,162,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.347537,0.3165008
0,0,0,0,0,0,100,162,162,162,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.476018,0.3237496
0,0,0,0,0,0,101,161,162,162,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.341097,0.3161375
0,0,0,0,0,0,100,162,162,162,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.339347,0.3160388
0,0,0,0,0,0,99,162,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.323842,0.315164
0,0,0,0,0,0,106,161,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.275365,0.312429
0,0,0,0,0,0,96,161,162,162,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.266871,0.3119497
0,0,0,0,0,0,103,162,162,162,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.269627,0.3121052
0,0,0,0,0,0,98,161,162,162,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.29148,0.3133381
0,0,0,0,0,0,98,162,162,162,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.324704,0.3152126
0,0,0,0,0,0,104,162,162,162,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.379515,0.318305
0,0,0,0,0,0,103,161,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.431,0.3212097
0,0,0,0,0,0,101,161,162,162,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.401116,0.3195237
0,0,0,0,0,0,99,162,162,162,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.300174,0.3138286
0,0,0,0,0,0,109,162,162,162,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.451422,0.3223619
0,0,0,0,0,0,101,162,162,162,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.475515,0.3237212
0,0,0,0,0,0,101,161,162,162,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.399804,0.3194497
0,0,0,0,0,0,100,161,162,162,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.317786,0.3148223
0,0,0,0,0,0,103,161,162,162,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.388023,0.318785
0,0,0,0,0,0,103,161,162,162,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.326585,0.3153188
0,0,0,0,0,0,98,162,162,162,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.333808,0.3157262
0,0,0,0,0,0,106,161,162,162,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.479119,0.3239245
0,0,0,0,0,0,99,161,162,162,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.436049,0.3214946
0,0,0,0,0,0,107,162,162,162,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.467709,0.3232808
0,0,0,0,0,0,98,161,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.419709,0.3205727
0,0,0,0,0,0,100,161,162,162,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.421856,0.3206938
0,0,0,0,0,0,102,161,162,162,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.4288,0.3210856
0,0,0,0,0,0,104,162,162,162,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.400149,0.3194691
0,0,0,0,0,0,102,162,162,162,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.390276,0.3189121
0,0,0,0,0,0,97,162,162,162,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.417032,0.3204217
0,0,0,0,0,0,99,161,162,162,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.256454,0.311362
0,0,0,0,0,0,101,162,162,162,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.366528,0.3175723
0,0,0,0,0,0,98,161,162,162,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.20485,0.3084506
0,0,0,0,0,0,100,162,162,162,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.396717,0.3192755
0,0,0,0,0,0,101,161,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.2872,0.3130966
0,0,0,0,0,0,98,161,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.271363,0.3122032
0,0,0,0,0,0,99,161,162,162,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.30399,0.314044
0,0,0,0,0,0,104,162,162,162,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.330601,0.3155453
0,0,0,0,0,0,99,162,162,162,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.267494,0.3119848
0,0,0,0,0,0,98,162,162,162,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.218606,0.3092267
0,0,0,0,0,0,97,162,162,162,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.355807,0.3169674
0,0,0,0,0,0,98,161,162,162,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.418026,0.3204777
0,0,0,0,0,0,102,161,162,162,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.331078,0.3155722
0,0,0,0,0,0,105,161,162,162,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.41523,0.32032
0,0,0,0,0,0,99,161,162,162,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.251631,0.3110899
0,0,0,0,0,0,97,161,162,162,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,1.984756,0.2960331
0,0,0,0,0,0,102,162,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.118551,0.3035817
0,0,0,0,0,0,102,161,162,162,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.214074,0.308971
0,0,0,0,0,0,99,161,162,162,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.185674,0.3073687
0,0,0,0,0,0,97,161,162,162,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.127775,0.3041021
0,0,0,0,0,0,101,160,162,162,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.284112,0.3129224
0,0,0,0,0,0,102,162,162,162,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.434486,0.3214064
0,0,0,0,0,0,98,161,162,162,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.399672,0.3194422
0,0,0,0,0,0,99,162,162,162,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.304004,0.3140447
0,0,0,0,0,0,98,161,162,162,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.33231,0.3156417
0,0,0,0,0,0,101,161,162,162,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.465191,0.3231387
0,0,0,0,0,0,100,160,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.309848,0.3143744
0,0,0,0,0,0,108,161,162,162,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.41796,0.320474
